[pp] device: Apple M4 Max | unified_memory=true | max_threadgroup_memory=32768 bytes
[pp] power: source=AC Power battery=100% charged warning=none powermode_ac=2 powermode_battery=2 thermal_warning=false performance_warning=false
[pp] model=/Users/tito/models/unsloth-Qwen3.5-122B-A10B-GGUF/UD-Q4_K_XL/Qwen3.5-122B-A10B-UD-Q4_K_XL.gguf source=synthetic token ids (seed=1) n_prompt=512 runs=1 chunk=512 tail=skip
[pp] lowering: gdn_batched=36/36 attn_batched=12/12 dense_ffn_batched=0/0 moe_gpu_token_loop=48/48
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=pre_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_qkv gpu_ms=3.76
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_z gpu_ms=2.41
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_beta_alpha gpu_ms=0.26
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_prep gpu_ms=0.53
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_step gpu_ms=2.11
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_gated gpu_ms=0.52
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=gdn_back gpu_ms=2.49
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=gdn phase=mixer_resid gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=moe phase=route_fused gpu_ms=0.25
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=moe phase=routed_swiglu gpu_ms=9.35
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=moe phase=routed_down gpu_ms=5.04
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=moe phase=routed_reduce gpu_ms=0.11
[prefill-layer-phase] chunk=0 start=0 layer=1 kind=moe phase=shared_packed gpu_ms=0.97
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=pre_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_qkv gpu_ms=2.93
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_z gpu_ms=1.98
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_beta_alpha gpu_ms=0.22
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_prep gpu_ms=0.46
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_step gpu_ms=1.89
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_gated gpu_ms=0.50
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=gdn_back gpu_ms=2.08
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=gdn phase=mixer_resid gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=moe phase=route_fused gpu_ms=0.21
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=moe phase=routed_swiglu gpu_ms=7.93
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=moe phase=routed_down gpu_ms=5.14
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=moe phase=routed_reduce gpu_ms=0.11
[prefill-layer-phase] chunk=0 start=0 layer=2 kind=moe phase=shared_packed gpu_ms=0.92
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=attn phase=pre_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=attn phase=attn gpu_ms=8.09
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=attn phase=mixer_resid gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=moe phase=route_fused gpu_ms=0.21
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=moe phase=routed_swiglu gpu_ms=8.03
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=moe phase=routed_down gpu_ms=5.12
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=moe phase=routed_reduce gpu_ms=0.11
[prefill-layer-phase] chunk=0 start=0 layer=3 kind=moe phase=shared_packed gpu_ms=0.91
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=pre_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_qkv gpu_ms=2.97
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_z gpu_ms=1.98
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_beta_alpha gpu_ms=0.22
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_prep gpu_ms=0.46
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_step gpu_ms=1.88
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_gated gpu_ms=0.51
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=gdn_back gpu_ms=2.08
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=gdn phase=mixer_resid gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=moe phase=route_fused gpu_ms=0.22
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=moe phase=routed_swiglu gpu_ms=8.26
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=moe phase=routed_down gpu_ms=5.37
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=moe phase=routed_reduce gpu_ms=0.11
[prefill-layer-phase] chunk=0 start=0 layer=4 kind=moe phase=shared_packed gpu_ms=0.91
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=gdn phase=pre_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=gdn phase=gdn_qkv gpu_ms=2.93
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=gdn phase=gdn_z gpu_ms=1.98
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=gdn phase=gdn_beta_alpha gpu_ms=0.22
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=gdn phase=gdn_prep gpu_ms=0.46
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=gdn phase=gdn_step gpu_ms=1.89
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=gdn phase=gdn_gated gpu_ms=0.50
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=gdn phase=gdn_back gpu_ms=2.08
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=gdn phase=mixer_resid gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=moe phase=route_fused gpu_ms=0.21
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=moe phase=routed_swiglu gpu_ms=8.12
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=moe phase=routed_down gpu_ms=5.34
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=moe phase=routed_reduce gpu_ms=0.12
[prefill-layer-phase] chunk=0 start=0 layer=5 kind=moe phase=shared_packed gpu_ms=0.92
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=gdn phase=pre_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=gdn phase=gdn_qkv gpu_ms=2.93
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=gdn phase=gdn_z gpu_ms=1.98
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=gdn phase=gdn_beta_alpha gpu_ms=0.22
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=gdn phase=gdn_prep gpu_ms=0.46
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=gdn phase=gdn_step gpu_ms=1.86
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=gdn phase=gdn_gated gpu_ms=0.51
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=gdn phase=gdn_back gpu_ms=2.08
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=gdn phase=mixer_resid gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=moe phase=route_fused gpu_ms=0.21
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=moe phase=routed_swiglu gpu_ms=7.85
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=moe phase=routed_down gpu_ms=5.12
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=moe phase=routed_reduce gpu_ms=0.39
[prefill-layer-phase] chunk=0 start=0 layer=6 kind=moe phase=shared_packed gpu_ms=0.92
[prefill-layer-phase] chunk=0 start=0 layer=7 kind=attn phase=pre_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=7 kind=attn phase=attn gpu_ms=8.15
[prefill-layer-phase] chunk=0 start=0 layer=7 kind=attn phase=mixer_resid gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=7 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=7 kind=moe phase=route_fused gpu_ms=0.22
[prefill-layer-phase] chunk=0 start=0 layer=7 kind=moe phase=routed_swiglu gpu_ms=8.18
[prefill-layer-phase] chunk=0 start=0 layer=7 kind=moe phase=routed_down gpu_ms=5.28
[prefill-layer-phase] chunk=0 start=0 layer=7 kind=moe phase=routed_reduce gpu_ms=0.38
[prefill-layer-phase] chunk=0 start=0 layer=7 kind=moe phase=shared_packed gpu_ms=0.92
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=gdn phase=pre_norm gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=gdn phase=gdn_qkv gpu_ms=2.95
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=gdn phase=gdn_z gpu_ms=1.98
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=gdn phase=gdn_beta_alpha gpu_ms=0.29
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=gdn phase=gdn_prep gpu_ms=0.75
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=gdn phase=gdn_step gpu_ms=1.96
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=gdn phase=gdn_gated gpu_ms=0.55
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=gdn phase=gdn_back gpu_ms=2.08
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=gdn phase=mixer_resid gpu_ms=0.11
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=moe phase=post_norm gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=moe phase=route_fused gpu_ms=0.22
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=moe phase=routed_swiglu gpu_ms=18.92
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=moe phase=routed_down gpu_ms=8.29
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=moe phase=routed_reduce gpu_ms=0.29
[prefill-layer-phase] chunk=0 start=0 layer=8 kind=moe phase=shared_packed gpu_ms=1.34
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=gdn phase=pre_norm gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=gdn phase=gdn_qkv gpu_ms=4.55
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=gdn phase=gdn_z gpu_ms=1.98
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=gdn phase=gdn_beta_alpha gpu_ms=0.31
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=gdn phase=gdn_prep gpu_ms=0.71
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=gdn phase=gdn_step gpu_ms=1.92
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=gdn phase=gdn_gated gpu_ms=0.50
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=gdn phase=gdn_back gpu_ms=2.07
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=gdn phase=mixer_resid gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=moe phase=route_fused gpu_ms=0.21
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=moe phase=routed_swiglu gpu_ms=13.28
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=moe phase=routed_down gpu_ms=8.30
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=moe phase=routed_reduce gpu_ms=0.28
[prefill-layer-phase] chunk=0 start=0 layer=9 kind=moe phase=shared_packed gpu_ms=1.34
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=gdn phase=pre_norm gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=gdn phase=gdn_qkv gpu_ms=3.33
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=gdn phase=gdn_z gpu_ms=1.97
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=gdn phase=gdn_beta_alpha gpu_ms=0.23
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=gdn phase=gdn_alpha_beta gpu_ms=0.00
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=gdn phase=gdn_prep gpu_ms=0.46
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=gdn phase=gdn_step gpu_ms=1.89
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=gdn phase=gdn_gated gpu_ms=0.50
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=gdn phase=gdn_back gpu_ms=2.07
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=gdn phase=mixer_resid gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=moe phase=route_fused gpu_ms=0.21
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=moe phase=routed_swiglu gpu_ms=19.81
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=moe phase=routed_down gpu_ms=8.53
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=moe phase=routed_reduce gpu_ms=0.12
[prefill-layer-phase] chunk=0 start=0 layer=10 kind=moe phase=shared_packed gpu_ms=1.34
[prefill-layer-phase] chunk=0 start=0 layer=11 kind=attn phase=pre_norm gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=11 kind=attn phase=attn gpu_ms=8.05
[prefill-layer-phase] chunk=0 start=0 layer=11 kind=attn phase=mixer_resid gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=11 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=11 kind=moe phase=route_fused gpu_ms=0.21
[prefill-layer-phase] chunk=0 start=0 layer=11 kind=moe phase=routed_swiglu gpu_ms=21.51
[prefill-layer-phase] chunk=0 start=0 layer=11 kind=moe phase=routed_down gpu_ms=14.38
[prefill-layer-phase] chunk=0 start=0 layer=11 kind=moe phase=routed_reduce gpu_ms=0.11
[prefill-layer-phase] chunk=0 start=0 layer=11 kind=moe phase=shared_packed gpu_ms=0.92
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=gdn phase=pre_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=gdn phase=gdn_qkv gpu_ms=2.96
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=gdn phase=gdn_z gpu_ms=1.97
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=gdn phase=gdn_beta_alpha gpu_ms=0.21
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=gdn phase=gdn_prep gpu_ms=0.47
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=gdn phase=gdn_step gpu_ms=1.86
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=gdn phase=gdn_gated gpu_ms=0.50
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=gdn phase=gdn_back gpu_ms=2.07
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=gdn phase=mixer_resid gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=moe phase=route_fused gpu_ms=0.22
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=moe phase=routed_swiglu gpu_ms=8.56
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=moe phase=routed_down gpu_ms=5.77
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=moe phase=routed_reduce gpu_ms=0.34
[prefill-layer-phase] chunk=0 start=0 layer=12 kind=moe phase=shared_packed gpu_ms=0.92
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=gdn phase=pre_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=gdn phase=gdn_qkv gpu_ms=2.93
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=gdn phase=gdn_z gpu_ms=1.97
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=gdn phase=gdn_beta_alpha gpu_ms=0.25
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=gdn phase=gdn_prep gpu_ms=0.59
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=gdn phase=gdn_step gpu_ms=1.87
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=gdn phase=gdn_gated gpu_ms=0.50
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=gdn phase=gdn_back gpu_ms=2.07
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=gdn phase=mixer_resid gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=moe phase=route_fused gpu_ms=0.21
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=moe phase=routed_swiglu gpu_ms=18.29
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=moe phase=routed_down gpu_ms=8.20
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=moe phase=routed_reduce gpu_ms=0.32
[prefill-layer-phase] chunk=0 start=0 layer=13 kind=moe phase=shared_packed gpu_ms=1.37
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=gdn phase=pre_norm gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=gdn phase=gdn_qkv gpu_ms=2.93
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=gdn phase=gdn_z gpu_ms=1.98
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=gdn phase=gdn_beta_alpha gpu_ms=0.23
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=gdn phase=gdn_alpha_beta gpu_ms=0.00
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=gdn phase=gdn_prep gpu_ms=0.46
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=gdn phase=gdn_step gpu_ms=1.83
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=gdn phase=gdn_gated gpu_ms=0.51
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=gdn phase=gdn_back gpu_ms=2.07
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=gdn phase=mixer_resid gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=moe phase=route_fused gpu_ms=0.22
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=moe phase=routed_swiglu gpu_ms=13.97
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=moe phase=routed_down gpu_ms=8.82
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=moe phase=routed_reduce gpu_ms=0.15
[prefill-layer-phase] chunk=0 start=0 layer=14 kind=moe phase=shared_packed gpu_ms=1.54
[prefill-layer-phase] chunk=0 start=0 layer=15 kind=attn phase=pre_norm gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=15 kind=attn phase=attn gpu_ms=10.90
[prefill-layer-phase] chunk=0 start=0 layer=15 kind=attn phase=mixer_resid gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=15 kind=moe phase=post_norm gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=15 kind=moe phase=route_fused gpu_ms=0.22
[prefill-layer-phase] chunk=0 start=0 layer=15 kind=moe phase=routed_swiglu gpu_ms=21.17
[prefill-layer-phase] chunk=0 start=0 layer=15 kind=moe phase=routed_down gpu_ms=5.21
[prefill-layer-phase] chunk=0 start=0 layer=15 kind=moe phase=routed_reduce gpu_ms=0.33
[prefill-layer-phase] chunk=0 start=0 layer=15 kind=moe phase=shared_packed gpu_ms=0.92
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=gdn phase=pre_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=gdn phase=gdn_qkv gpu_ms=2.93
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=gdn phase=gdn_z gpu_ms=1.98
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=gdn phase=gdn_beta_alpha gpu_ms=0.22
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=gdn phase=gdn_prep gpu_ms=0.47
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=gdn phase=gdn_step gpu_ms=1.86
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=gdn phase=gdn_gated gpu_ms=0.51
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=gdn phase=gdn_back gpu_ms=2.07
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=gdn phase=mixer_resid gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=moe phase=post_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=moe phase=route_fused gpu_ms=0.21
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=moe phase=routed_swiglu gpu_ms=18.87
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=moe phase=routed_down gpu_ms=8.21
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=moe phase=routed_reduce gpu_ms=0.12
[prefill-layer-phase] chunk=0 start=0 layer=16 kind=moe phase=shared_packed gpu_ms=1.33
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=gdn phase=pre_norm gpu_ms=0.02
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=gdn phase=gdn_qkv gpu_ms=4.73
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=gdn phase=gdn_z gpu_ms=3.36
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=gdn phase=gdn_beta_alpha gpu_ms=0.34
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=gdn phase=gdn_alpha_beta gpu_ms=0.01
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=gdn phase=gdn_prep gpu_ms=0.62
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=gdn phase=gdn_step gpu_ms=2.83
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=gdn phase=gdn_gated gpu_ms=0.69
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=gdn phase=gdn_back gpu_ms=3.17
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=gdn phase=mixer_resid gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=moe phase=post_norm gpu_ms=0.03
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=moe phase=route_fused gpu_ms=0.36
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=moe phase=routed_swiglu gpu_ms=14.09
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=moe phase=routed_down gpu_ms=7.53
[prefill-layer-phase] chunk=0 start=0 layer=17 kind=moe phase=routed_reduce gpu_ms=0.12
